page_limit	offset_position	status_filter	bin_filter	matching_cards	deleted_cards
ten	equal_result_count	ACTIVE	matching	many	absent
hundred	zero	ACTIVE	omitted	zero	present
ten	above_result_count	BLOCKED	omitted	one	present
one	zero	BLOCKED	nonmatching	zero	absent
ten	within_results	INACTIVE	matching	many	present
one	equal_result_count	omitted	matching	one	present
default_50	within_results	BLOCKED	omitted	many	absent
default_50	within_results	ACTIVE	matching	many	present
hundred	above_result_count	INACTIVE	matching	one	absent
one	above_result_count	omitted	omitted	many	present
one	zero	ACTIVE	matching	one	present
one	within_results	omitted	matching	many	absent
hundred	above_result_count	omitted	nonmatching	zero	present
hundred	within_results	INACTIVE	omitted	many	present
default_50	zero	INACTIVE	nonmatching	zero	present
default_50	above_result_count	BLOCKED	matching	one	absent
ten	zero	omitted	matching	many	present
ten	above_result_count	ACTIVE	nonmatching	zero	absent
default_50	above_result_count	omitted	matching	zero	absent
default_50	equal_result_count	INACTIVE	omitted	many	present
hundred	equal_result_count	BLOCKED	matching	many	absent
one	above_result_count	INACTIVE	omitted	zero	absent
