card_status	amount_vs_daily	amount_vs_monthly	amount_vs_balance	expiry	terminal_type	mcc
INACTIVE	below	below	below	valid	pos	electronics
ACTIVE	below	above	above	current_month	ecom	travel
EXPIRED	below	below	below	expired	atm	grocery
ACTIVE	above	equal	equal	valid	pos	grocery
BLOCKED	below	below	below	current_month	atm	restaurant
INACTIVE	below	below	below	current_month	ecom	grocery
INACTIVE	below	below	below	expired	atm	restaurant
BLOCKED	below	below	below	expired	ecom	electronics
BLOCKED	below	below	below	expired	pos	travel
ACTIVE	equal	above	above	valid	atm	electronics
ACTIVE	equal	equal	equal	current_month	pos	travel
ACTIVE	above	below	equal	valid	ecom	restaurant
EXPIRED	below	below	below	current_month	ecom	electronics
ACTIVE	equal	below	above	valid	pos	restaurant
EXPIRED	below	below	below	valid	pos	restaurant
ACTIVE	equal	above	below	expired	pos	grocery
ACTIVE	above	equal	above	valid	atm	travel
ACTIVE	above	above	equal	valid	atm	restaurant
INACTIVE	below	below	below	expired	ecom	travel
ACTIVE	above	equal	below	expired	ecom	electronics
ACTIVE	below	equal	above	valid	ecom	grocery
EXPIRED	below	below	below	current_month	ecom	travel
ACTIVE	below	equal	equal	valid	ecom	electronics
ACTIVE	equal	equal	below	valid	ecom	restaurant
BLOCKED	below	below	below	valid	atm	grocery
ACTIVE	above	equal	above	current_month	atm	grocery
